"AnimalName","AnimalGender","AnimalBirthYear","BreedName","ZipCode","LicenseIssuedDate","LicenseExpiredDate","Extract.Year","Borough","BoroughPop","lon","lat"
"LULU","F",2013,"Bull Dog, French",11215,"04/20/2017","05/31/2019",2017,"Brooklyn",2636735,-73.9800645,40.6681669
"ANDERSON","M",2006,"Scottish Terrier",10021,"05/15/2017","05/30/2018",2017,"Manhattan",1682664,-73.9580246,40.7700703
"SCOUT","F",2008,"Boxer",10013,"04/21/2017","11/07/2017",2017,"Manhattan",1682664,-74.0094471,40.7217861
"LEO","M",2010,"Beagle",11427,"04/26/2017","04/23/2018",2017,"Queens",2354054,-73.7442568,40.7302787
"RUSTY","M",2006,"Chihuahua",11220,"05/24/2017","06/24/2018",2017,"Brooklyn",2636735,-74.0153231,40.6385229
"OLIVER","M",2008,"Shih Tzu Crossbreed",11222,"10/23/2017","11/10/2018",2017,"Brooklyn",2636735,-73.9506774,40.7282702
"SEMEN","M",2010,"Cocker Spaniel",11214,"11/03/2017","11/03/2018",2017,"Brooklyn",2636735,-73.9982756,40.6046106
"TITO","M",2015,"Miniature Pinscher",10023,"06/27/2017","06/27/2022",2017,"Manhattan",1682664,-73.9800645,40.7769059
"TUCKER","M",2016,"Cocker Spaniel Crossbreed",10029,"02/06/2017","02/06/2018",2017,"Manhattan",1682664,-73.9447994,40.7916407
"SPROUT","M",2011,"Brussels Griffon",10021,"02/17/2017","03/01/2018",2017,"Manhattan",1682664,-73.9580246,40.7700703
"BLACKIE","M",2005,"Schnauzer, Miniature",11228,"07/27/2017","08/15/2018",2017,"Brooklyn",2636735,-74.0153231,40.6137658
"POOCHIE","F",2014,"Bichon Frise",11370,"06/22/2017","08/01/2018",2017,"Queens",2354054,-73.8918897,40.7594109
"LABRADOR","F",2017,"Labrador Retriever",10009,"05/31/2017","05/31/2018",2017,"Manhattan",1682664,-73.9800645,40.7275043
"JOEY","M",2011,"Australian Shepherd",11414,"08/28/2017","10/21/2018",2017,"Queens",2354054,-73.8477874,40.6616787
"GOLDY","M",2016,"Golden Retriever",11358,"01/26/2017","01/26/2018",2017,"Queens",2354054,-73.7977928,40.760743
"PORKCHOP","F",2016,"American Pit Bull Mix / Pit Bull Mix",10036,"08/18/2017","08/18/2018",2017,"Manhattan",1682664,-73.9932872,40.7602619
"PUFF","M",2017,"Pomeranian",11215,"08/14/2017","08/14/2018",2017,"Brooklyn",2636735,-73.9800645,40.6681669
"BARNEY","M",2012,"Chihuahua",10009,"01/24/2017","12/14/2017",2017,"Manhattan",1682664,-73.9800645,40.7275043
"COOPER","M",2008,"Beagle Crossbreed",10040,"10/05/2017","09/07/2018",2017,"Manhattan",1682664,-73.9330429,40.8639624
"SCHATZIE","F",2012,"Cocker Spaniel",10009,"08/08/2017","10/02/2018",2017,"Manhattan",1682664,-73.9800645,40.7275043
"ELEANOR","F",2013,"Rat Terrier",11233,"05/15/2017","05/12/2018",2017,"Brooklyn",2636735,-73.9212858,40.6795939
"LUCKY","M",2005,"Pomeranian",11375,"09/15/2017","09/11/2018",2017,"Queens",2354054,-73.8457658,40.7245678
"XYLO","M",2014,"Xoloitzcuintli",11422,"08/23/2017","11/03/2018",2017,"Queens",2354054,-73.7389596,40.6584068
